name,employer,location,position type,core competency,employee
Junior Data Analyst,Lockerdome,Saint Louis,Data Scientist / Business Intelligence,Statistical Analysis,Luke
Project Coordinator Support,Maritz,Saint Louis,Technical Assistant / User Support,Non-coding,Luke
Junior Web Developer,Cozy,Portland,Web - Front End,Ruby,Luke
Junior Developer 3,LiveAnswer,South Florida,Web - Full Stack,Java,Luke
Full Stack Engineer,Splitwise,Rhode Island,Web - Full Stack,Ruby,Luke
Customer Experience,Splitwise,Rhode Island,Project Manager / Analyst,Non-coding,Luke
IT Support Specialist,Viamontech,South Florida,Technical Assistant / User Support,Non-coding,Luke
C#/.net Developer ,Hunter Engineering,Saint Louis,Software / Enterprise Developer,.Net,Luke
Junior Developer,"TruckMovers.com, Inc.",Kansas City,Web - Full Stack,Python,Luke
Software Engineer,Computer Associates Inc,Rhode Island,Software / Enterprise Developer,.Net,Luke
Technical Help Desk,DataServ,Saint Louis,Technical Assistant / User Support,Non-coding,Luke
QA Analyst,Float Left Interactive,South Florida,Quality Assurance Analyst,Non-coding,Luke
Android Developer,Float Left Interactive,South Florida,Mobile Developer,Android,Luke
Help Desk Support Service Specialist,SuprTek Technology,Saint Louis,Technical Assistant / User Support,Non-coding,Luke
Jr. Level Applications Tester,SuprTek Technology,Saint Louis,Quality Assurance Analyst,Non-coding,Luke
Associate Managed Systems Engineer,SuprTek Technology,Saint Louis,Quality Assurance Analyst,Non-coding,Luke
Quality Assurance Analyst,SuprTek Technology,Saint Louis,Quality Assurance Analyst,Non-coding,Luke
Test Engineer,SuprTek Technology,Saint Louis,Data Scientist / Business Intelligence,Java,Luke
Full Stack Developer,Buzzbold,Saint Louis,Web - Full Stack,JavaScript,Luke
DevOps Engineer,Datarista,Rhode Island,Software / Enterprise Developer,Python,Luke
Software Engineer - Back End,Datarista,Rhode Island,Web - Back End,Java,Luke
Business Intelligence Analyst,Anheuser Busch,Saint Louis,Data Scientist / Business Intelligence,Database,Luke
Digital Marketing Analyst,How to Manage a Small Law Firm,South Florida,Data Scientist / Business Intelligence,Non-coding,Luke
Front End Web Developer,Useagility,Kansas City,Web - Front End,JavaScript,Luke
Operations Assistant,Technia Transact,South Florida,Project Manager / Analyst,Non-coding,Luke
Project Manager,Technia Transact,South Florida,Project Manager / Analyst,Non-coding,Luke
Client Services Engineer,EyeVerify,Kansas City,Software / Enterprise Developer,JavaScript,Luke
Software Developer,Gragg Advertising,Kansas City,Web - Full Stack,JavaScript,Luke
Technical Sales Rep,Technia Transact,South Florida,Technical Assistant / User Support,Non-coding,Luke
Front End Dev,Watchtower Security,Saint Louis,Web - Front End,JavaScript,Luke
IOS Engineer,Utrip,Seattle,Mobile Developer,iOS,Luke
Junior Software Engineer,Ad Astra Information Systems,Kansas City,Web - Full Stack,.Net,Luke
Software Developer,Smajda Development,Kansas City,Web - Full Stack,Python,Luke
SEM Specialist,Optimum7,South Florida,Data Scientist / Business Intelligence,Non-coding,Luke
Mobile Developer,LaborChart,Kansas City,Mobile Developer,iOS,Luke
Front End,Maritz,Saint Louis,Web - Front End,JavaScript,Luke
.net developer ,Hunter Engineering,Saint Louis,Software / Enterprise Developer,.Net,Luke
Junior Java Developer,Technia Transact,South Florida,Web - Back End,Java,Luke
Customer Experience Specialist,DivvyHQ,Kansas City,Technical Assistant / User Support,Non-coding,Luke
PHP Developer/Data Scientist,EveryMundo,South Florida,Web - Back End,PHP,Luke
TechStars Intnership Program,Ultimate Software,South Florida,Web - Full Stack,Java,Luke
Web Applications Engineer,Alright Analytics ,Kansas City,Web - Front End,Python,Luke
Web Developer,Atomic Dust,Saint Louis,Web - Full Stack,JavaScript,Luke
Mobile Developer,Haku App,South Florida,Mobile Developer,iOS,Luke
Front End Developer,Haku App,South Florida,Web - Front End,JavaScript,Luke
Jr. Web Dev.,Motivation Technologies,Saint Louis,Web - Front End,JavaScript,Luke
C#/Game Dev,Bass Underwriters,South Florida,Web - Full Stack,.Net,Luke
Android Developer,Kairos,South Florida,Mobile Developer,Android,Luke
Site Reliability Engineer ,Kairos,South Florida,System Admin / DB Admin / Network Support,Non-coding,Luke
Software Developer C#/.NET,DirecLogix,South Florida,Web - Back End,.Net,Luke
Cloud Engineer,DirecLogix,South Florida,System Admin / DB Admin / Network Support,Non-coding,Luke
Front End Dev,How to Manage a Small Law Firm,South Florida,Web - Front End,JavaScript,Luke
Pthyon/APIs Dev ,How to Manage a Small Law Firm,South Florida,Web - Back End,Python,Luke
Full Stack Engineer,BrandVerity,Seattle,Web - Full Stack,Python,Luke
Cross-Platform Mobile Developer,Eyeride,South Florida,Mobile Developer,.Net,Luke
Front-End Developer,Eyeride,South Florida,Web - Front End,JavaScript,Luke
Front-End Developer,Active Giver,Seattle,Web - Front End,JavaScript,Luke
Junior Developer ,ESolutions,Kansas City,Technical Assistant / User Support,.Net,Luke
Senior Growth Analyst,Skyscanner,South Florida,Data Scientist / Business Intelligence,Statistical Analysis,Luke
Java Dev,Equifax,Saint Louis,Web - Front End,Java,Luke
Front End Developer,Swappa,Kansas City,Web - Front End,JavaScript,Luke
Sr. IT Analyst (Data/BI),Bull Moose Industries,Saint Louis,Data Scientist / Business Intelligence,Statistical Analysis,Luke
PHP Dev.,Sherpa,Saint Louis,Software / Enterprise Developer,PHP,Luke
QA Analyst,Sherpa,Saint Louis,Quality Assurance Analyst,PHP,Luke
Web-Based .NET/C#,Center Prism,Saint Louis,Web - Full Stack,.Net,Luke
Front End Developer,Lifted Logic,Kansas City,Web - Front End,JavaScript,Luke
Application Support Analyst,Maritz,Saint Louis,System Admin / DB Admin / Network Support,Database,Luke
Android Developer,EyeVerify,Kansas City,Mobile Developer,Android,Luke
Desktop Support ,City of Portland,Portland,Technical Assistant / User Support,Non-coding,Luke
Customer Support ,SafetyCulture,Kansas City,Technical Assistant / User Support,JavaScript,Luke
Wordpress Dev.,Bootstrap & Co.,Anywhere in the US,Web - Front End,JavaScript,Luke
Tech Support,MOD Pizza,Seattle,System Admin / DB Admin / Network Support,Non-coding,Luke
Social Media Manager,Excy,Seattle,Technical Writer,Non-coding,Luke
Web Dev.,Greater Goods,Anywhere in the US,Web - Front End,JavaScript,Luke
Front End Developer,LaborChart,Kansas City,Web - Front End,JavaScript,Luke
Data Scientist,Visa South Florida,South Florida,Data Scientist / Business Intelligence,Statistical Analysis,Luke
PHP Developer,EveryMundo,South Florida,Web - Full Stack,PHP,Luke
QA Analyst,Bandcamp,New York,Other,"Ruby, JavaScript",Luke
Ruby specialist,LaunchCode,Saint Louis,Web - Back End,JavaScript,Luke
Front End,TouchSuite,South Florida,Web - Front End,JavaScript,Luke
Tech Support,Viamontech,South Florida,System Admin / DB Admin / Network Support,Non-coding,Luke
Project Manager,RI Interactive,Rhode Island,Project Manager / Analyst,Non-coding,Luke
Front-End/UX Developer,Palm Beach Software Design,South Florida,Web - Front End,JavaScript,Luke
mobile dev,Upserve,Rhode Island,Mobile Developer,iOS,Luke
Front End Developer,Trim Agency,South Florida,Web - Front End,JavaScript,Luke
Project Manager,Trim Agency,South Florida,Project Manager / Analyst,Non-coding,Luke
Software Engineer,Spring Venture Group,Kansas City,Software / Enterprise Developer,Java,Luke
System Administrator,Saepio,Kansas City,System Admin / DB Admin / Network Support,Database,Luke
front end web dev,LaborChart,Kansas City,Web - Front End,JavaScript,Luke
Front end web dev,DST,Kansas City,Web - Front End,JavaScript,Luke
Software Engineer,Toast,Rhode Island,Web - Full Stack,JavaScript,Luke
Software Engineer,BetaXAnalytics,Rhode Island,Software / Enterprise Developer,JavaScript,Luke
Data Science,BetaXAnalytics,Rhode Island,Data Scientist / Business Intelligence,Statistical Analysis,Luke
Software Developer,DST,Kansas City,Web - Full Stack,Java,Luke
Data Engineer,Preventure,Rhode Island,Data Scientist / Business Intelligence,Database,Luke
Internet of Things Developer,IOTAS,Portland,Software / Enterprise Developer,Java,Luke
Software Developer (Data Team),Redfin,Seattle,Web - Full Stack,Java,Luke
Data Science,Utilidata,Rhode Island,Data Scientist / Business Intelligence,Statistical Analysis,Luke
